Index,Player,Season,Team,S/C,Pos,GP,TOI,TOI/GP
450,John Tavares,20-21,TOR,L,C,56,1019:02,18:11
533,Alexander Wennberg,20-21,FLA,L,C,56,1017:21,18:10
436,Nick Suzuki,20-21,MTL,R,C,56,1018:10,18:10
455,Alexandre Texier,20-21,CBJ,L,L,49,776:08,15:50
472,Matthew Tkachuk,20-21,CGY,L,L,56,1016:45,18:09
1154,Alexis Lafrenière,20-21,NYR,L,L,56,777:25,13:52
1257,Anthony Mantha,20-21,"DET,WSH",L,R,56,1014:56,18:07
979,Jonathan Huberdeau,20-21,FLA,L,L,55,1012:34,18:24
1480,Anders Bjork,20-21,"BOS,BUF",L,L,45,624:41,13:52
64,Pavel Buchnevich,20-21,NYR,L,L,54,1011:34,18:43
131,Dmitry Orlov,20-21,WSH,L,D,51,1010:30,19:48
69,Andre Burakovsky,20-21,COL,L,L,53,799:53,15:05
1027,Andreas Johnsson,20-21,NJD,L,L,50,696:42,13:56
1056,Kirill Kaprizov,20-21,MIN,L,L,55,1006:22,18:17
439,Andrei Svechnikov,20-21,CAR,L,R,55,964:39,17:32
632,Andrew Copp,20-21,WPG,L,C,55,1003:46,18:15
333,Andrej Sekera,20-21,DAL,L,D,46,719:26,15:38
1258,Brad Marchand,20-21,BOS,L,L,53,1002:15,18:54
617,Andrew Cogliano,20-21,DAL,L,C,54,752:01,13:55
1371,Brock Nelson,20-21,NYI,L,C,56,998:35,17:49
862,Mikael Granlund,20-21,NSH,L,C,51,992:23,19:27
1255,Andrew Mangiapane,20-21,CGY,L,L,56,933:25,16:40
2,Oliver Bjorkstrand,20-21,CBJ,R,R,56,986:08,17:36
1470,Patrice Bergeron,20-21,BOS,R,C,54,983:59,18:13
869,Andy Greene,20-21,NYI,L,D,55,966:47,17:34
429,P.K. Subban,20-21,NJD,R,D,44,983:47,22:21
1450,Anthony Beauvillier,20-21,NYI,L,R,47,770:51,16:24
42,Justin Braun,20-21,PHI,R,D,53,982:04,18:31
605,Anthony Cirelli,20-21,TBL,L,C,50,887:21,17:44
584,Cody Ceci,20-21,PIT,R,D,53,981:28,18:31
721,Anthony Duclair,20-21,FLA,L,L,43,674:26,15:41
399,Jordan Staal,20-21,CAR,L,C,53,979:44,18:29
852,Claude Giroux,20-21,PHI,R,R,54,977:42,18:06
278,Antoine Roussel,20-21,VAN,L,L,35,402:42,11:30
1238,Nathan MacKinnon,20-21,COL,R,C,48,977:29,20:21
311,Marco Scandella,20-21,STL,L,D,49,977:28,19:56
405,Paul Stastny,20-21,WPG,L,C,56,974:56,17:24
419,Anton Stralman,20-21,FLA,R,D,38,720:05,18:56
1108,Anze Kopitar,20-21,LAK,L,C,56,1186:14,21:10
578,Artem Zub,20-21,OTT,R,D,47,863:58,18:22
143,Artemi Panarin,20-21,NYR,R,L,42,825:00,19:38
561,Keith Yandle,20-21,FLA,L,D,56,965:32,17:14
748,Oliver Ekman-Larsson,20-21,ARI,L,D,46,964:47,20:58
1179,Artturi Lehkonen,20-21,MTL,L,L,47,630:55,13:25
530,Austin Watson,20-21,OTT,R,L,34,408:05,12:00
933,Kevin Hayes,20-21,PHI,L,R,55,963:44,17:31
1275,Auston Matthews,20-21,TOR,L,C,52,1120:46,21:33
141,Ondrej Palat,20-21,TBL,L,L,55,960:03,17:27
858,Barclay Goodrow,20-21,TBL,L,C,55,831:38,15:07
770,Radek Faksa,20-21,DAL,L,C,55,958:41,17:25
1260,Jonathan Marchessault,20-21,VGK,R,R,55,958:18,17:25
593,Ben Chiarot,20-21,MTL,L,D,41,893:17,21:47
991,Ben Hutton,20-21,"ANA,TOR",L,D,38,701:26,18:27
1005,Mattias Janmark,20-21,"CHI,VGK",L,C,56,957:13,17:05
620,Blake Coleman,20-21,TBL,L,L,55,850:35,15:27
1082,Phil Kessel,20-21,ARI,R,R,56,956:57,17:05
1205,Blake Lizotte,20-21,LAK,L,C,41,520:57,12:42
535,Blake Wheeler,20-21,WPG,R,R,50,917:02,18:20
973,Bo Horvat,20-21,VAN,L,C,56,1113:49,19:53
760,Joel Eriksson Ek,20-21,MIN,L,C,56,955:15,17:03
1014,Boone Jenner,20-21,CBJ,L,C,41,737:58,17:59
1420,Mikael Backlund,20-21,CGY,L,C,54,950:06,17:35
886,Radko Gudas,20-21,FLA,R,D,54,948:45,17:34
379,Reilly Smith,20-21,VGK,L,R,53,947:02,17:52
1425,Josh Bailey,20-21,NYI,L,R,54,944:59,17:29
365,Brady Skjei,20-21,CAR,L,D,52,1078:05,20:43
918,Noah Hanifin,20-21,CGY,L,D,47,940:34,20:00
1373,Patrik Nemeth,20-21,"DET,COL",L,D,52,936:34,18:00
900,Brandon Hagel,20-21,CHI,L,L,52,727:25,13:59
1072,Clayton Keller,20-21,ARI,L,R,56,932:52,16:39
292,Brandon Saad,20-21,COL,L,L,44,620:05,14:05
226,Rickard Rakell,20-21,ANA,R,R,52,926:59,17:49
446,Brandon Tanev,20-21,PIT,L,L,32,461:56,14:26
499,James van Riemsdyk,20-21,PHI,L,L,56,926:27,16:32
1303,Brayden McNabb,20-21,VGK,L,D,41,791:15,19:17
1461,Jamie Benn,20-21,DAL,L,L,52,924:45,17:47
317,Brayden Schenn,20-21,STL,L,C,56,1072:02,19:08
414,Chandler Stephenson,20-21,VGK,L,C,51,922:56,18:05
822,Brendan Gallagher,20-21,MTL,R,R,35,525:20,15:00
1443,Drake Batherson,20-21,OTT,R,R,56,922:32,16:28
1045,Nazem Kadri,20-21,COL,L,C,56,922:19,16:28
1182,Brendan Lemieux,20-21,"NYR,LAK",L,L,49,496:29,10:07
104,Josh Norris,20-21,OTT,L,C,56,922:14,16:28
372,Brendan Smith,20-21,NYR,L,D,48,788:50,16:26
737,Jordan Eberle,20-21,NYI,R,R,55,921:42,16:45
1130,Dmitry Kulikov,20-21,"NJD,EDM",L,D,48,920:03,19:10
71,Brent Burns,20-21,SJS,R,D,56,1463:56,26:08
1015,Nick Jensen,20-21,WSH,R,D,53,917:16,17:18
976,Brett Howden,20-21,NYR,L,C,42,527:30,12:33
1128,Brett Kulak,20-21,MTL,L,D,46,740:57,16:06
727,Brian Dumoulin,20-21,PIT,L,D,41,916:32,22:21
1369,Martin Necas,20-21,CAR,R,C,53,916:27,17:17
173,Brett Pesce,20-21,CAR,R,D,55,1253:34,22:47
