Index,Season,S/C,Pos,G,A,A1,S,Ht,Wt,Hits,HitsT,BkS,GvA,TkA,TOI,GP,SAT% Relative,Pen Drawn,Pen Taken,SAT%,USAT %,On-Ice GF %,OZ Ratio,OZ Start%,NZ Start%,DZ Start%,FOW,FOL,ixG,iCF,18+ MPH Speed Bursts,20+ MPH Speed Bursts,22+ MPH Speed Bursts,Top Speed (MPH),GF,GA,xGF,xGA,oiSh%,oiSv%,PDO,TOI/GP
223,23-24,R,R,5,9,4,120,74,201,84,65,28,29,43,1159.45,73,1.1,6,11,45.2,44.1,31.2,49.5,34.6,30.2,35.3,19,38,13.37,218,506,76,0,21.98,15,33,28.93,42.12,3.95,93.28,97.23,15.88
1073,23-24,L,C,8,10,5,86,73,185,171,132,67,20,34,936.53,80,-1.7,23,15,48.7,50.1,37.5,49.6,31.1,37.3,31.6,11,35,10.01,177,500,82,0,21.75,21,35,22.98,25.74,6.69,89.46,96.15,11.71
331,23-24,R,C,25,27,15,154,74,205,61,52,22,27,21,1125.2,68,-3.3,6,13,50,49,59,51.6,35.7,30.8,33.5,342,266,19.35,269,445,43,0,21.44,50,34,43.61,40.4,11.34,92.74,104.07,16.55
553,23-24,L,D,0,8,1,32,73,190,84,87,67,23,12,726.6,41,2,13,11,47.9,47.9,55.5,37.1,21.9,40.8,37.3,0,0,0.72,76,103,11,0,21.01,24,20,26.91,22.32,8.16,93.1,101.27,17.72
1061,23-24,L,L,11,9,4,109,71,202,229,86,27,9,24,911.37,77,-2.5,16,13,49.3,48,50,51.7,33.9,34.4,31.6,41,46,11.78,218,639,70,1,22.08,28,28,29.99,32.55,7.55,93.27,100.82,11.84
650,23-24,L,L,13,8,4,119,75,212,249,104,26,18,13,901.17,81,-2.1,18,18,48.3,49.1,47.5,53.7,34,36.7,29.3,2,8,12.49,204,602,92,2,22.29,29,32,30.66,31.74,7.16,92.02,99.18,11.13
407,23-24,L,C,9,15,13,86,72,185,58,102,32,18,28,1019.62,77,-1.8,12,13,51.6,52.8,46,41.4,24.4,41.1,34.5,94,115,9.44,159,648,114,2,22.27,29,35,31.18,29.63,7.36,90.06,97.42,13.24
1153,23-24,R,C,13,11,4,78,74,205,192,124,32,19,17,938.47,79,-3.6,15,12,48.2,47.3,50,49.9,30,39.8,30.2,150,206,10.43,148,842,222,17,23.36,32,32,28.18,30.88,9.14,91.62,100.77,11.88
1052,23-24,L,R,20,27,18,147,70,176,14,30,13,30,14,918.82,50,2.6,10,7,48.3,47.8,51.5,53.4,34.2,35.9,29.9,0,0,14.82,259,414,47,2,22.43,33,31,27.99,32.14,9.48,91.55,101.04,18.38
969,23-24,L,R,15,10,10,72,73,208,19,58,46,19,53,998.95,75,-4.2,8,7,44.2,44.5,44.7,46.1,30.8,33.3,35.9,6,13,9.16,150,477,71,0,21.64,30,37,25.6,33.87,8.62,91.9,100.52,13.32
1052,24-25,L,R,21,38,17,175,70,176,19,18,23,77,13,1294.52,72,-0.3,9,6,48.5,48.7,52.2,53.9,37.2,31.1,31.8,5,8,18.68,328,606,97,0,22.16,35,32,43.49,47.93,7.49,93.32,100.81,17.98
1059,23-24,L,C,30,30,20,175,72,190,43,87,46,35,42,1232.12,70,3.6,19,7,51.5,53.3,58.9,50.9,35.1,31,33.8,547,426,22.42,298,734,157,11,22.9,46,32,39.95,27.54,10.04,91.58,101.62,17.6
1265,23-24,L,L,4,12,7,56,75,234,82,57,16,17,15,654.93,51,-4.8,13,17,45.7,44.6,42.3,40.4,24.7,38.7,36.5,12,20,5.59,104,117,6,0,20.3,22,30,22.99,23.37,8.91,89.8,98.7,12.84
1390,23-24,L,D,2,7,1,48,70,180,42,73,72,14,7,950.7,58,0.1,13,6,48.1,48.8,44.6,65.7,42.9,34.8,22.4,0,0,1.9,119,203,15,0,20.94,25,31,34.8,35.55,5.83,92.67,98.5,16.39
456,23-24,L,D,5,37,19,105,74,197,9,50,78,22,27,1038.15,47,3.2,4,2,51.7,52.9,58.8,57.8,39.7,31.4,28.9,0,0,5.9,257,271,44,4,22.8,40,28,37.08,31.21,8.99,92.86,101.85,22.09
10,23-24,L,C,6,22,13,97,72,185,98,65,43,15,27,1015.6,68,0,11,14,51.5,53.8,50.7,41.2,25.2,38.9,35.9,415,366,12.39,156,493,89,1,22.01,34,32,37.38,28.7,8.56,91.11,99.68,14.94
64,24-25,L,L,20,37,21,145,73,196,44,44,32,70,15,1446.02,76,0.9,9,10,49.1,49.4,56.1,53.3,38.7,27.5,33.8,85,143,24.52,290,473,42,1,22.23,58,45,55.69,45.73,11.53,91.31,102.84,19.03
705,23-24,L,R,13,11,7,97,73,194,18,43,23,14,19,624,47,3.2,5,6,51.6,52.1,60,54.1,37.5,30.6,31.9,2,2,10.55,170,232,31,0,21.92,30,20,26.66,19.13,10.27,92.34,102.61,13.28
705,24-25,L,R,35,17,8,254,73,194,28,91,37,55,24,1355.18,82,3.3,11,14,53.8,55,52,61,42.7,30,27.3,3,13,27.9,427,387,56,3,22.87,50,46,52.59,41.91,8.47,89.93,98.41,16.53
1333,24-25,L,D,5,14,9,69,73,207,81,70,92,62,13,1196.6,68,-3.6,5,10,43.6,43.4,50,42.8,29,32.3,38.7,0,0,4.69,172,264,38,0,21.47,50,50,39.7,55.67,10.82,91.01,101.83,17.6
102,23-24,R,R,14,23,14,111,73,205,118,77,25,21,23,960.92,81,1.6,13,15,60.3,60.5,64.5,60.1,38.9,35.3,25.8,46,63,16.16,200,301,27,0,21.34,40,22,40.22,26.43,9.2,92.69,101.89,11.86
565,24-25,L,C,14,33,21,132,76,211,63,48,26,62,24,1563.12,82,1.5,9,9,48.5,47.7,50.4,63,44.9,28.8,26.3,393,346,21.3,247,722,95,2,22.17,53,52,50.1,46.8,10.75,90.39,101.14,19.06
106,23-24,L,C,18,27,13,113,73,190,5,119,31,25,48,1008.25,71,6,14,4,55.7,56.4,54.7,71.8,45.8,36.2,18,211,289,13.76,233,562,90,0,21.94,40,33,41.5,29.03,8.35,91.22,99.57,14.2
1119,24-25,L,C,10,18,8,80,72,188,136,109,32,46,10,1128.48,81,-0.3,29,20,49.4,48.2,53.1,40.1,25.8,35.8,38.5,326,339,10.47,194,758,126,3,22.59,42,37,36.88,43.81,10.69,91.21,101.9,13.93
1026,23-24,R,C,17,14,4,112,68,191,48,27,31,21,26,1041.08,67,-3.9,9,13,40.9,40.3,27.2,46.5,31.9,31.4,36.7,156,195,13.53,195,281,38,2,22.52,15,40,24.53,42.82,4.82,91.74,96.56,15.54
475,23-24,R,C,33,22,14,229,72,205,75,67,11,31,32,1339.85,79,4.2,11,7,55.4,53.9,51.4,64,40.9,36,23.1,27,44,29.15,425,373,43,0,21.84,55,52,48.41,47.39,9.43,89.96,99.4,16.96
49,24-25,L,D,8,21,10,97,76,210,43,135,103,103,22,1393.98,68,-1.1,9,7,48.1,48.6,62.3,47.6,32.2,32.2,35.5,0,0,5.66,224,371,82,8,23.48,48,28,51.39,42.84,9.21,94.96,104.18,20.5
434,23-24,L,C,14,15,9,105,71,172,54,48,23,7,31,1038.17,67,2.2,15,8,53.4,52.9,66.1,49.7,32.8,34,33.2,186,191,13.56,185,268,16,0,20.54,39,20,34.01,25.31,10.74,93.96,104.7,15.5
478,23-24,R,R,7,13,7,62,72,187,13,62,18,28,16,515.53,41,0.5,6,6,50.4,50,42.5,46.4,30.3,34.6,35.1,3,16,7.67,110,295,29,0,21.4,17,23,20.02,18.84,7.42,89.82,97.25,12.57
1376,23-24,L,R,28,25,17,158,76,210,74,69,24,23,29,1152.92,54,3,12,11,55.2,53.8,51.8,58,39.6,31.7,28.7,2,5,23.32,270,682,137,10,23.96,42,39,37.47,32.79,9.57,90.23,99.79,21.35
1191,23-24,R,C,8,8,6,130,73,205,90,107,62,17,15,954.13,82,-2,7,10,52,53,53.3,54.2,35.2,34.9,29.8,133,179,9.65,204,594,83,2,22.82,24,21,27.06,27.15,6.27,93.69,99.96,11.64
662,24-25,L,C,8,35,28,123,73,200,83,55,73,86,25,1413.87,80,4.9,17,13,56.5,57.7,59.7,49.1,33.3,32.2,34.5,635,581,15.5,233,487,43,0,21.92,53,35,51.29,37.64,9.33,91.63,100.96,17.67
694,23-24,L,L,5,5,3,52,72,193,93,37,23,3,6,616.87,51,-6.6,8,10,45.7,43.7,44.4,51.3,32.4,36.8,30.8,5,12,4.83,95,294,47,1,22.63,16,20,15.7,23.34,7.44,93.03,100.47,12.1
1455,23-24,L,L,4,3,2,36,71,198,20,47,22,7,18,393.53,40,2.7,5,3,54.6,54,60,40.9,24.6,39.9,35.5,174,151,2.99,67,210,25,1,23.22,12,7,11.38,8.8,9.38,93.64,103.01,9.84
719,24-25,L,C,20,46,29,142,76,220,65,101,62,65,15,1418.58,82,1.8,27,33,51.5,53.9,62.3,47.6,32.3,32.2,35.6,577,584,23.69,278,820,143,1,22.85,73,44,59.18,47.07,13.32,90.39,103.71,17.3
482,23-24,L,C,12,5,3,116,74,201,207,93,36,33,44,1107.58,76,0.7,10,13,51.5,51.1,55.9,34.7,21.7,37.4,40.9,99,121,14.27,240,712,118,1,22.08,33,28,35.9,34.95,7.4,93.85,101.25,14.57
1039,23-24,L,D,2,9,5,42,74,185,47,43,44,20,22,784.4,52,-2.4,4,7,49,48,47.1,46.7,28.7,38.5,32.7,0,0,1.28,103,198,40,0,21.99,33,37,29.69,33.65,9.24,90.36,99.61,15.08
434,24-25,L,C,25,21,12,138,71,172,59,43,43,52,19,1404.87,81,0.5,5,9,49.4,47.9,51.7,44.2,28.2,36.3,35.5,372,502,18.97,259,306,10,0,21.07,45,42,40.2,38.5,10.64,90.09,100.73,17.34
770,23-24,L,C,7,12,10,71,75,216,97,139,42,19,29,926.15,74,1.2,9,10,54.3,54.5,46,37.7,22,41.8,36.2,283,237,11.02,153,488,53,0,21.83,29,34,27.18,25.32,8.33,88.67,97,12.52
968,23-24,L,R,7,10,6,54,72,201,51,109,42,10,14,624.7,54,0,11,9,51,52.2,58.8,53,34,35.9,30.1,94,109,6.7,95,477,98,4,22.51,30,21,22.56,18.99,11.36,90.45,101.82,11.57
984,24-25,L,D,16,60,34,192,70,180,13,81,67,97,25,1749.58,68,11.4,16,9,55.4,54.5,53.2,64.1,41.8,34.7,23.4,0,0,13.77,474,588,108,7,24.56,65,57,58.8,50.95,10,89.52,99.52,25.73
448,23-24,L,R,23,32,20,155,73,219,85,92,39,27,18,1196,76,-1.5,8,6,49.7,49.9,55,53.2,34.3,35.6,30.1,4,3,15.77,308,429,73,2,22.4,55,46,41.61,47.12,10.66,91.29,101.95,15.74
76,24-25,L,R,23,31,13,157,77,230,80,137,33,68,24,1508.5,81,2.8,26,23,55.1,55.5,61,52.8,34.7,34.2,31.1,415,527,23.89,343,1176,295,23,23.4,58,37,51.56,39.83,10.78,91.8,102.58,18.62
406,23-24,R,D,1,6,3,51,70,184,67,83,77,22,13,978.43,54,0.5,8,16,51,49.7,55.7,45.4,30,33.8,36.2,0,0,2.91,153,194,31,0,21.53,34,26,35.48,32.72,8.92,93.45,102.37,18.12
577,23-24,L,L,4,3,2,38,78,220,44,31,5,7,14,322.23,33,-0.7,5,8,51.7,52.3,52.3,32.9,22.1,32.9,45,5,5,5.25,66,270,67,7,22.94,11,10,15.61,13.06,6.79,92.42,99.21,9.76
766,23-24,L,C,18,14,6,97,71,185,77,82,29,20,16,875.05,68,-4,9,12,42.8,41.8,41.7,43.8,28.7,34.5,36.8,70,50,13.22,161,273,24,1,22.05,28,39,26.81,35.48,8.95,91.06,100,12.87
886,24-25,R,D,1,15,11,89,72,208,261,114,178,104,15,1609.12,81,0.6,18,36,46.7,47.4,48,40.5,28.2,30.5,41.4,0,0,2.79,241,182,18,1,22.13,49,53,54.54,63.96,7.98,92.25,100.23,19.87
949,23-24,L,C,17,21,14,124,75,220,59,43,49,13,37,1106.43,54,3.2,10,7,47.2,46.8,35.2,44.7,31.1,30.4,38.5,565,418,15.15,232,284,24,1,23,24,44,31.97,38.47,6.47,89.57,96.04,20.49
927,23-24,L,L,2,8,7,26,69,179,47,35,47,13,5,568.7,45,-1.5,6,3,43.7,42.6,51.7,38.4,23.2,39.5,37.3,13,28,5.9,60,217,26,0,21.37,15,14,14.82,18.14,8.72,93.86,102.58,12.64
1404,24-25,R,D,11,20,7,163,73,202,36,114,196,107,30,1942.8,81,-3.4,20,26,49.6,50,40.3,50,35,30.1,34.9,0,0,8.76,354,364,50,1,22.21,42,62,55.88,63.91,5.64,91.59,97.23,23.99
1135,23-24,L,C,9,9,7,92,74,208,156,61,34,16,16,851.58,62,-1.2,16,20,47.4,47.2,45.4,32.9,21.7,34,44.3,272,293,8.7,164,442,91,3,22.75,25,30,26.47,34.99,7.6,92.23,99.83,13.74
687,23-24,L,D,2,5,0,38,72,200,52,73,64,7,6,863.97,50,-6.7,5,13,45.2,43.2,35.1,41.1,27.2,33.8,39,0,0,1.49,80,123,14,0,21.36,19,35,25.77,32.55,6.25,90.54,96.79,17.28
657,24-25,L,D,17,51,27,200,75,204,101,150,98,105,39,1769.2,73,8,26,27,54.8,54.7,58.3,55.5,37.5,32.5,30,0,0,10.9,409,412,35,0,21.77,70,50,59.34,54.88,9.75,91.3,101.05,24.24
1353,23-24,L,C,6,3,2,83,70,194,97,85,41,14,41,858.57,69,-2.9,12,10,48,49,35,40.4,22.8,43.7,33.5,78,77,7.12,168,448,109,10,23.1,14,26,19.2,21.77,5.51,91.03,96.55,12.44
1018,23-24,R,C,13,10,7,78,75,218,60,35,15,19,21,859.5,63,-4.2,7,9,48.1,46.8,46.8,44.5,30.6,31.3,38.1,431,380,9.44,131,319,35,1,22.16,22,25,21.88,26.17,7.21,92.38,99.59,13.64
172,23-24,L,D,0,17,10,36,70,175,30,50,53,16,15,824.68,54,2.4,8,6,48.2,47.8,53.3,62.3,41.1,34.1,24.8,0,0,1.92,73,156,20,0,21.92,32,28,26.1,29.62,10.19,91.46,101.65,15.27
257,23-24,R,D,1,3,1,46,76,208,56,60,45,10,4,517.42,31,0.7,4,4,51.6,55.7,47.3,55.5,39.8,28.3,31.9,0,0,2.19,85,104,13,0,21.25,18,20,21.13,14.97,6.5,90.38,96.88,16.69
257,24-25,R,D,4,15,4,100,76,208,97,119,94,52,25,1293.03,63,0.7,6,6,49.2,51.3,45.8,41,28,31.7,40.2,0,0,6.09,189,314,42,2,22.32,39,46,40.14,34.54,8.11,89.66,97.77,20.52
132,23-24,R,R,12,13,5,90,72,187,75,50,56,16,41,877.18,52,-4.7,18,18,44.6,43.8,40.8,62.3,42,32.6,25.4,12,31,16.42,194,398,73,3,22.5,20,29,25.67,30.39,7.27,92.03,99.31,16.87
1210,23-24,L,L,5,2,2,68,69,184,179,62,21,14,14,715.52,75,-5.2,20,25,50.5,48.6,47.2,46.6,27.1,41.9,31,5,12,5.12,137,409,94,6,23.53,17,19,19.78,24.99,5.86,93.38,99.24,9.54
851,23-24,L,C,8,6,3,73,75,197,141,102,36,5,9,746.53,63,-1.5,11,9,48.7,49,50,48,31,35.4,33.6,94,103,7.28,135,532,103,3,22.88,21,21,22.85,27.56,7.45,92.88,100.33,11.85
